,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,Dikson,73.5069,80.5464,3.47,80,100,8.26,RU,1662874490
51,Henties Bay,-22.116,14.2845,12.81,93,19,1.12,NA,1662874490
52,Tuktoyaktuk,69.4541,-133.0374,4.0,81,100,4.12,CA,1662874491
53,Barrow,71.2906,-156.7887,2.01,93,100,6.69,US,1662874492
54,Yellowknife,62.456,-114.3525,10.29,66,75,9.77,CA,1662874269
55,Margate,51.3813,1.3862,14.94,81,8,1.88,GB,1662874493
56,Hambantota,6.1241,81.1185,32.19,66,20,4.63,LK,1662874494
57,Castro,-24.7911,-50.0119,13.49,98,100,2.88,BR,1662874494
58,Carnarvon,-24.8667,113.6333,23.57,43,0,4.65,AU,1662874235
59,Kulachi,31.9286,70.4592,35.52,37,0,2.05,PK,1662874496
60,Padang,-0.9492,100.3543,31.03,64,53,2.96,ID,1662874262
61,Kem',64.9555,34.5793,9.82,74,93,4.13,RU,1662874497
62,Mahébourg,-20.4081,57.7,24.16,64,40,7.2,MU,1662874499
63,Harrismith,-28.2728,29.1295,17.14,19,5,2.13,ZA,1662874500
64,Cidreira,-30.1811,-50.2056,10.14,76,0,2.3,BR,1662874502
65,Huicungo,-7.2833,-76.8,18.35,92,6,0.55,PE,1662874502
66,Kahului,20.8947,-156.47,27.01,76,20,8.23,US,1662874503
67,Cape Town,-33.9258,18.4232,12.93,93,75,2.06,ZA,1662874348
68,Tiarei,-17.5333,-149.3333,26.01,74,5,7.95,PF,1662874504
69,Mossamedes,-15.1961,12.1522,18.7,87,92,3.24,AO,1662874505
70,Chui,-33.6971,-53.4616,4.64,89,0,2.09,UY,1662874506
71,Atuona,-9.8,-139.0333,24.99,71,4,9.16,PF,1662874507
72,Tura,25.5198,90.2201,26.67,81,100,2.7,IN,1662874508
73,Cerro Largo,-28.1486,-54.7381,5.7,84,14,2.31,BR,1662874508
74,Meridian,43.6121,-116.3915,20.95,50,0,3.09,US,1662874509
75,Alofi,-19.0595,-169.9187,24.94,78,100,3.6,NU,1662874511
76,Saskylakh,71.9167,114.0833,1.69,83,100,6.04,RU,1662874512
77,Yangi Marg`ilon,40.4272,71.7189,25.4,27,30,4.12,UZ,1662874513
78,Torbay,47.6666,-52.7314,15.42,96,100,16.09,CA,1662874513
79,Jumla,29.2747,82.1838,20.22,72,98,2.03,NP,1662874514
80,Hilo,19.7297,-155.09,25.85,84,40,1.54,US,1662874515
81,Vestmannaeyjar,63.4427,-20.2734,10.9,88,100,5.69,IS,1662874515
82,Hobart,-42.8794,147.3294,12.92,56,20,7.72,AU,1662874516
83,Saint Paul Harbor,57.79,-152.4072,13.73,72,100,2.06,US,1662874332
84,Port Elizabeth,-33.918,25.5701,14.16,82,0,6.17,ZA,1662874517
85,Belmonte,-15.8631,-38.8828,19.85,76,53,2.48,BR,1662874518
86,Haicheng,40.8516,122.7475,26.97,51,2,1.31,CN,1662874518
87,Mount Gambier,-37.8333,140.7667,10.95,93,75,6.17,AU,1662874519
88,Sola,-13.8833,167.55,26.72,71,15,7.39,VU,1662874520
89,Nyurba,63.2842,118.3319,8.89,47,62,3.66,RU,1662874521
90,Aklavik,68.2191,-135.0107,6.47,95,100,1.63,CA,1662874521
91,Bredasdorp,-34.5322,20.0403,12.87,85,100,3.1,ZA,1662874522
92,Lüderitz,-26.6481,15.1594,14.56,66,19,8.44,NA,1662874522
93,Alpena,45.0617,-83.4327,19.54,94,75,0.0,US,1662874523
94,Sept-Îles,50.2001,-66.3821,13.92,99,100,1.03,CA,1662874523
95,Torrevieja,37.9787,-0.6822,23.73,83,68,1.92,ES,1662874524
96,Hermanus,-34.4187,19.2345,12.67,81,99,4.3,ZA,1662874524
97,Erzin,36.9559,36.2,27.34,57,0,1.69,TR,1662874525
98,Zhalantun,48.0,122.7167,31.99,24,100,2.88,CN,1662874526
99,Bereket,39.2446,55.5154,24.36,20,0,6.66,TM,1662874526
100,Hong Kong,22.2855,114.1577,33.87,55,5,1.34,HK,1662874413
101,Matara,5.9485,80.5353,29.11,68,60,5.93,LK,1662874527
102,Urdoma,61.7533,48.5442,9.47,72,95,2.08,RU,1662874528
103,Naze,28.3667,129.4833,28.51,78,88,4.78,JP,1662874528
104,Kyaiklat,16.4333,95.7333,26.92,81,100,3.03,MM,1662874528
105,Ostrovnoy,68.0531,39.5131,8.57,83,98,4.63,RU,1662874529
106,New Norfolk,-42.7826,147.0587,12.73,72,69,3.58,AU,1662874530
107,Ponta Delgada,37.7333,-25.6667,22.4,78,40,9.26,PT,1662874530
108,Mehamn,71.0357,27.8492,6.97,87,100,0.51,NO,1662874531
109,Saint-Philippe,-21.3585,55.7679,23.77,76,20,4.17,RE,1662874532
110,Tiksi,71.6872,128.8694,3.1,96,100,2.51,RU,1662874533
111,Pangnirtung,66.1451,-65.7125,7.77,92,100,2.76,CA,1662874533
112,Verkhnevilyuysk,63.4453,120.3167,8.8,46,49,4.11,RU,1662874533
113,Khatanga,71.9667,102.5,2.4,93,100,3.53,RU,1662874534
114,Adrar,20.5022,-10.0711,32.39,31,28,3.17,MR,1662874534
115,Fethiye,36.6217,29.1164,23.93,26,0,0.9,TR,1662874535
116,Turukhansk,65.8167,87.9833,7.23,46,52,1.53,RU,1662874536
117,Leh,34.1667,77.5833,17.49,37,17,3.21,IN,1662874536
118,Talnakh,69.4865,88.3972,4.56,99,100,3.15,RU,1662874537
119,Wentzville,38.8114,-90.8529,22.27,93,67,0.45,US,1662874470
120,Dingle,10.9995,122.6711,30.62,70,51,4.04,PH,1662874537
121,Kemijärvi,66.7131,27.4306,9.2,87,99,3.08,FI,1662874538
122,Celestún,20.8667,-90.4,25.42,88,53,2.66,MX,1662874538
123,Beringovskiy,63.05,179.3167,7.65,82,100,8.68,RU,1662874539
124,Avera,33.194,-82.5271,23.54,96,100,1.91,US,1662874539
125,Eilat,29.5581,34.9482,28.91,39,0,3.09,IL,1662874347
126,Camaná,-16.6228,-72.7111,15.19,85,82,4.29,PE,1662874541
127,Pevek,69.7008,170.3133,4.82,83,7,2.48,RU,1662874541
128,Leningradskiy,69.3833,178.4167,3.91,92,92,4.06,RU,1662874542
129,Cayenne,4.9333,-52.3333,24.02,100,0,0.51,GF,1662874543
130,Lata,40.1629,-8.3327,17.82,83,60,0.93,PT,1662874543
131,Nanortalik,60.1432,-45.2371,6.22,82,79,3.82,GL,1662874544
132,Ribeira Grande,38.5167,-28.7,22.69,77,100,12.57,PT,1662874545
133,Cabo San Lucas,22.8909,-109.9124,26.95,84,27,3.85,MX,1662874545
134,Ponta do Sol,32.6667,-17.1,25.0,92,93,4.17,PT,1662874545
135,Eyl,7.9803,49.8164,28.62,60,84,11.12,SO,1662874546
136,Tiznit Province,29.5833,-9.5,25.82,42,93,1.08,MA,1662874547
137,Beyneu,45.3167,55.2,16.39,31,0,4.4,KZ,1662874547
138,Takaka,-40.85,172.8,12.53,85,99,1.4,NZ,1662874548
139,Calama,-22.4667,-68.9333,7.27,16,3,5.66,CL,1662874549
140,St. George's,12.0564,-61.7485,27.35,81,33,5.3,GD,1662874549
141,Valcourt,45.5001,-72.3158,16.38,80,100,1.34,CA,1662874550
142,Kidal,18.4411,1.4078,28.41,46,48,2.69,ML,1662874550
143,Trairi,-3.2778,-39.2689,24.65,78,15,5.73,BR,1662874551
144,Ferme-Neuve,46.7001,-75.4493,15.26,91,30,1.58,CA,1662874551
145,Airai,-8.9266,125.4092,24.81,44,9,1.25,TL,1662874552
146,The Valley,18.217,-63.0578,28.39,79,20,6.18,AI,1662874552
147,Esperance,-33.8667,121.9,18.43,61,22,4.03,AU,1662874553
148,Carutapera,-1.195,-46.02,24.15,89,0,2.16,BR,1662874554
149,Mahanoro,-19.9,48.8,23.11,64,3,0.4,MG,1662874554
150,Saint-François,46.4154,3.9054,8.15,100,13,0.51,FR,1662874555
151,Santa Cruz de la Sierra,-17.8,-63.1667,19.7,42,75,2.57,BO,1662874556
152,Pouembout,-21.1333,164.9,24.81,80,36,2.28,NC,1662874556
153,Arraial do Cabo,-22.9661,-42.0278,20.33,91,99,8.67,BR,1662874556
154,Ilulissat,69.2167,-51.1,10.01,81,100,6.69,GL,1662874557
155,Srednekolymsk,67.45,153.6833,6.32,92,100,1.84,RU,1662874558
156,Forsytheganj,52.6333,29.7333,10.83,97,100,6.3,BY,1662874558
157,Nabire,-3.3667,135.4833,28.16,77,91,1.77,ID,1662874559
158,Coari,-4.085,-63.1414,24.88,63,37,1.61,BR,1662874559
159,Kavieng,-2.5744,150.7967,28.79,66,32,6.84,PG,1662874560
160,Baykit,61.67,96.37,8.94,82,97,2.04,RU,1662874561
161,East London,-33.0153,27.9116,17.14,68,53,7.38,ZA,1662874432
162,Antofagasta,-23.65,-70.4,13.6,84,51,2.29,CL,1662874562
163,Narsaq,60.9167,-46.05,4.12,73,98,1.13,GL,1662874562
164,Poplar Bluff,36.757,-90.3929,21.88,90,75,0.0,US,1662874563
165,Shetpe,44.1667,52.1167,15.82,41,0,3.13,KZ,1662874564
166,Deputatsky,69.3,139.9,5.02,55,98,7.11,RU,1662874565
167,Mahbūbnagar,16.7333,77.9833,23.53,90,100,5.21,IN,1662874565
168,Kruisfontein,-34.0033,24.7314,11.6,63,37,6.95,ZA,1662874566
169,Bodden Town,19.2833,-81.25,28.85,75,90,6.27,KY,1662874566
170,Upernavik,72.7868,-56.1549,5.15,97,100,5.77,GL,1662874567
171,Weyburn,49.6668,-103.8511,8.12,53,6,3.09,CA,1662874567
172,Flinders,-34.5833,150.8552,19.58,49,0,1.05,AU,1662874350
173,Hasaki,35.7333,140.8333,27.94,79,83,10.03,JP,1662874351
174,Japura,-0.3167,102.35,32.36,54,100,1.07,ID,1662874569
175,Robertsport,6.7533,-11.3686,24.54,88,100,3.45,LR,1662874569
176,Shenjiamen,29.9576,122.298,25.73,80,56,6.08,CN,1662874570
177,Cherskiy,68.75,161.3,12.72,58,86,3.18,RU,1662874571
178,Puerto Escondido,15.85,-97.0667,26.32,86,99,2.19,MX,1662874572
179,Nago,26.5881,127.9761,30.47,84,100,5.39,JP,1662874572
180,Kargasok,59.0556,80.8572,4.99,90,100,3.67,RU,1662874573
181,Wuda,39.4994,106.7117,25.18,29,0,4.32,CN,1662874574
182,Coquimbo,-29.9533,-71.3436,11.85,82,100,0.0,CL,1662874574
183,Tuatapere,-46.1333,167.6833,10.56,75,26,1.19,NZ,1662874575
184,Namatanai,-3.6667,152.4333,29.01,63,94,6.11,PG,1662874575
185,Longyearbyen,78.2186,15.6401,0.91,75,40,6.69,SJ,1662874576
186,Zhuanghe,39.7008,122.9911,24.19,67,8,3.41,CN,1662874576
187,Kondrovo,54.8064,35.9278,7.27,49,100,4.62,RU,1662874577
188,Souillac,-20.5167,57.5167,24.21,64,40,7.2,MU,1662874577
189,Salalah,17.0151,54.0924,28.05,78,75,1.03,OM,1662874578
190,Várzea Grande,-15.6467,-56.1325,22.93,64,37,2.57,BR,1662874579
191,Alice Springs,-23.7,133.8833,24.75,33,41,5.66,AU,1662874576
192,Orbetello,42.4408,11.2196,17.0,67,1,2.57,IT,1662874580
193,Champerico,14.3,-91.9167,25.75,85,100,2.11,GT,1662874581
194,Isangel,-19.55,169.2667,25.78,76,9,1.41,VU,1662874581
195,Bairiki Village,1.3292,172.9752,29.0,70,20,4.12,KI,1662874582
196,Løding,67.3,14.75,9.35,92,100,3.6,NO,1662874582
197,Kieta,-6.2167,155.6333,28.22,69,15,2.38,PG,1662874583
198,Gawler,-34.6,138.7333,15.7,62,60,3.86,AU,1662874584
199,Luang Prabang,19.8856,102.1347,28.98,70,75,0.6,LA,1662874584
200,Yarmouth,41.7057,-70.2286,20.26,92,0,0.0,US,1662874585
201,Aquiraz,-3.9014,-38.3911,26.05,77,34,6.65,BR,1662874585
202,Norman Wells,65.282,-126.8329,9.02,76,75,6.69,CA,1662874586
203,Eureka,40.8021,-124.1637,17.18,89,92,0.89,US,1662874587
204,Nouadhibou,20.931,-17.0347,22.56,84,4,10.46,MR,1662874588
205,Am Timan,11.0297,20.2827,23.28,90,53,1.2,TD,1662874588
206,Plettenberg Bay,-34.0527,23.3716,14.4,70,50,4.97,ZA,1662874589
207,Dunedin,-45.8742,170.5036,10.45,85,42,1.34,NZ,1662874589
208,Fagersta,60.0042,15.7932,8.88,80,51,0.35,SE,1662874590
209,Freetown,8.484,-13.2299,24.69,84,100,3.08,SL,1662874590
210,Flin Flon,54.7682,-101.865,11.53,51,49,3.49,CA,1662874591
211,Constitución,-35.3333,-72.4167,8.21,88,0,2.61,CL,1662874592
212,Ulladulla,-35.35,150.4667,17.65,52,1,4.29,AU,1662874592
213,Khandyga,62.6667,135.6,7.53,64,95,4.03,RU,1662874593
214,Ancud,-41.8697,-73.8203,8.46,90,97,0.63,CL,1662874593
215,Vostok,46.4856,135.8833,23.53,45,99,1.78,RU,1662874594
216,Porgera,-5.4667,143.2,8.86,98,100,0.49,PG,1662874594
217,Vikhorevka,56.1201,101.1636,14.77,54,100,3.14,RU,1662874595
218,Semey,50.4111,80.2275,18.12,45,75,5.0,KZ,1662874595
219,Labytnangi,66.6572,66.4183,7.63,70,99,4.36,RU,1662874596
220,Port Moresby,-9.4431,147.1797,30.68,74,40,5.14,PG,1662874597
221,Pemba,-12.974,40.5178,24.08,75,5,2.52,MZ,1662874598
222,Ca Mau,9.1769,105.15,24.61,95,100,2.99,VN,1662874381
223,San Cristobal,7.7669,-72.225,22.1,96,61,0.96,VE,1662874600
224,Kavaratti,10.5669,72.642,27.01,83,100,8.83,IN,1662874601
225,Carballo,43.213,-8.691,17.73,91,58,1.28,ES,1662874601
226,Montrose,38.4166,-108.2673,10.85,25,57,1.03,US,1662874602
227,Ayagoz,47.9714,80.4392,19.45,61,100,13.05,KZ,1662874603
228,Green River,41.5286,-109.4662,13.22,37,0,1.99,US,1662874604
229,Ahipara,-35.1667,173.1667,13.74,96,100,7.21,NZ,1662874605
230,Atar,20.5169,-13.0499,31.94,31,59,0.42,MR,1662874605
231,Sitka,57.0531,-135.33,12.94,71,20,3.09,US,1662874606
232,Lavrentiya,65.5833,-171.0,6.12,77,50,2.99,RU,1662874606
233,Lhokseumawe,5.1801,97.1507,30.02,63,85,2.97,ID,1662874607
234,Qui Nhon,13.7667,109.2333,28.65,78,30,3.99,VN,1662874563
235,Pontianak,-0.0333,109.3333,30.99,62,75,1.03,ID,1662874608
236,Kuandian,40.7286,124.7847,24.8,60,8,2.67,CN,1662874608
237,Saldanha,-33.0117,17.9442,11.03,87,95,3.64,ZA,1662874609
238,Savannah Bight,16.45,-85.85,28.93,82,93,10.04,HN,1662874609
239,Aksarka,66.5606,67.7975,7.53,66,89,5.38,RU,1662874610
240,Severo-Kuril'sk,50.6789,156.125,14.56,68,1,5.84,RU,1662874610
241,Tuy Hoa,13.0833,109.3,30.05,68,54,4.38,VN,1662874399
242,Saint-Joseph,-21.3667,55.6167,23.21,71,10,3.44,RE,1662874347
243,Tabou,4.423,-7.3528,23.58,87,100,3.56,CI,1662874612
244,Arecibo,18.4724,-66.7157,27.79,93,46,1.98,PR,1662874613
245,Harper,4.375,-7.7169,23.59,87,99,3.84,LR,1662874614
246,Mumbwa,-14.9783,27.0619,22.58,26,0,2.78,ZM,1662874615
247,Mangit,40.5971,70.9607,25.78,25,48,9.49,UZ,1662874616
248,Farafangana,-22.8167,47.8333,21.87,73,5,2.22,MG,1662874616
249,Bethel,41.3712,-73.414,20.5,79,0,0.0,US,1662874617
250,Nakamura,32.9833,132.9333,28.84,66,38,3.71,JP,1662874617
251,Charters Towers,-20.1,146.2667,30.73,25,0,1.84,AU,1662874618
252,Cumanayagua,22.1494,-80.2022,23.86,92,75,2.49,CU,1662874618
253,Aktobe,50.2797,57.2072,10.05,76,0,5.0,KZ,1662874619
254,Pangai,-19.8,-174.35,24.58,76,96,7.12,TO,1662874619
255,Popondetta,-8.7537,148.2534,31.1,52,5,3.19,PG,1662874620
256,Mariehamn,60.0973,19.9348,9.92,93,100,1.03,AX,1662874621
257,Glodeanu-Siliştea,44.8333,26.8,21.27,58,48,1.46,RO,1662874622
258,Vanavara,60.34,102.2797,13.11,53,100,4.9,RU,1662874622
259,Havelock,34.8791,-76.9013,27.99,89,100,3.47,US,1662874623
260,Preobrazheniye,42.9019,133.9064,20.0,62,100,1.48,RU,1662874623
261,Camopi,3.1655,-52.3158,20.76,99,41,0.93,GF,1662874624
262,Uusikaupunki,60.8004,21.4084,11.14,65,91,2.0,FI,1662874625
263,Goundam,16.4145,-3.6708,28.98,60,45,5.77,ML,1662874625
264,Laas,46.6166,10.7002,12.49,91,77,2.83,IT,1662874625
265,Panguna,-6.3164,155.4848,24.84,71,24,1.4,PG,1662874626
266,Marawi,7.9986,124.2928,28.65,58,81,2.24,PH,1662874627
267,Samarai,-10.6167,150.6667,27.79,77,20,4.5,PG,1662874627
268,Alihe,50.5667,123.7167,21.87,51,96,3.12,CN,1662874628
269,Yar-Sale,66.8333,70.8333,7.5,67,98,6.11,RU,1662874628
270,Glyadyanskoye,54.9075,65.0883,12.84,44,69,6.72,RU,1662874629
271,Sioux Lookout,50.1001,-91.917,9.04,93,0,2.06,CA,1662874630
272,Kičevo,41.5144,20.9633,19.67,59,46,0.84,MK,1662874631
273,Vestmanna,62.1564,-7.1664,11.51,94,100,6.17,FO,1662874631
274,Krasnosel'kup,65.7,82.4667,8.39,48,67,3.61,RU,1662874631
275,Clyde River,70.4692,-68.5914,3.13,100,100,0.0,CA,1662874632
276,Poso,-1.3959,120.7524,27.73,81,99,2.03,ID,1662874632
277,Tibú,8.639,-72.7358,22.84,99,91,1.09,CO,1662874633
278,Severodvinsk,64.5635,39.8302,9.06,82,90,3.44,RU,1662874633
279,Goderich,43.7501,-81.7165,21.62,78,100,3.6,CA,1662874634
280,Sechura,-5.5569,-80.8222,16.38,85,31,4.03,PE,1662874635
281,Kushiro,42.975,144.3747,20.53,77,20,4.12,JP,1662874419
282,College,64.8569,-147.8028,8.97,84,75,0.0,US,1662874636
283,Hervey Bay,-25.2986,152.8535,21.03,53,22,3.53,AU,1662874636
284,Syracuse,37.0881,15.2792,20.77,69,0,2.27,IT,1662874637
285,Inta,66.0317,60.1659,6.88,88,100,8.01,RU,1662874637
286,Pasni,25.2631,63.471,29.82,64,34,5.68,PK,1662874638
287,Pedernales,18.0384,-71.744,28.09,70,57,1.74,DO,1662874638
288,Scarborough,54.2797,-0.4044,14.32,92,56,1.33,GB,1662874639
289,Ust-Tsilma,65.441,52.1498,8.88,89,100,2.73,RU,1662874639
290,Urengoy,65.9667,78.3667,6.65,62,93,1.73,RU,1662874640
291,La Colmena,-25.8833,-56.8167,8.66,65,28,1.57,PY,1662874640
292,Kloulklubed,7.0419,134.2556,28.28,66,81,2.19,PW,1662874641
293,Saint George,37.1041,-113.5841,24.24,59,0,1.54,US,1662874359
294,Nānākuli,21.3906,-158.1547,26.97,69,100,2.06,US,1662874642
295,Jesup,31.6074,-81.8854,23.86,94,100,0.0,US,1662874643
296,Fairbanks,64.8378,-147.7164,8.98,85,0,0.0,US,1662874643
297,Cabedelo,-6.9811,-34.8339,22.37,86,23,4.55,BR,1662874644
298,Inhambane,-23.865,35.3833,23.03,67,0,4.61,MZ,1662874644
299,Port Blair,11.6667,92.75,28.95,72,59,6.88,IN,1662874645
300,Mercedes,-34.6515,-59.4307,6.69,53,0,3.45,AR,1662874646
301,Meulaboh,4.1363,96.1285,29.47,62,72,2.79,ID,1662874646
302,Marystown,47.1666,-55.1483,14.09,83,100,15.57,CA,1662874647
303,Auki,-8.7676,160.7034,27.02,78,38,0.54,SB,1662874648
304,Ulaanbaatar,47.9077,106.8832,20.07,42,20,4.0,MN,1662874439
305,Rondonópolis,-16.4708,-54.6356,25.04,41,48,1.32,BR,1662874649
306,Abu Samrah,35.3029,37.1841,26.86,25,0,2.87,SY,1662874649
307,De Panne,51.0792,2.5917,14.47,95,13,1.03,BE,1662874650
308,Gizo Government Station,-8.103,156.8419,29.03,65,64,2.17,SB,1662874651
309,Marzuq,14.4,46.4667,29.96,30,94,0.43,YE,1662874651
310,Maryville,35.7565,-83.9705,21.15,95,100,0.0,US,1662874642
311,Emba,48.8264,58.1442,12.39,58,99,6.45,KZ,1662874652
312,Geraldton,-28.7667,114.6,23.23,46,75,3.6,AU,1662874653
313,Ouégoa,-20.35,164.4333,25.55,77,16,2.06,NC,1662874653
314,Vardø,70.3705,31.1107,6.99,93,100,1.54,NO,1662874654
315,Korla,41.7597,86.1469,32.85,13,4,4.78,CN,1662874654
316,San Joaquin,37.9333,-121.3011,25.13,56,0,3.6,US,1662874655
317,Key West,24.5557,-81.7826,28.0,94,40,17.49,US,1662874655
318,Marsh Harbour,26.5412,-77.0636,29.06,73,7,3.42,BS,1662874656
319,Kununurra,-15.7667,128.7333,35.99,28,35,2.57,AU,1662874423
320,Mayo,38.8876,-76.5119,23.97,89,100,4.12,US,1662874658
321,Fortuna,40.5982,-124.1573,17.03,88,90,1.35,US,1662874658
322,Saint-Ambroise,48.5501,-71.3324,17.78,94,0,1.54,CA,1662874659
323,Kenai,60.5544,-151.2583,10.08,90,100,2.57,US,1662874659
324,Sinnamary,5.3833,-52.95,25.35,84,96,3.04,GF,1662874660
325,Laguna,38.421,-121.4238,24.69,59,0,4.12,US,1662874661
326,Camaçari,-12.6975,-38.3242,20.87,94,8,1.05,BR,1662874661
327,Aktau,43.65,51.2,15.32,42,10,4.84,KZ,1662874662
328,Xining,36.6167,101.7667,21.1,37,0,1.51,CN,1662874503
329,Makubetsu,45.3714,141.8211,22.84,60,20,5.14,JP,1662874663
330,Tonj,7.2737,28.6822,23.22,93,92,2.29,SS,1662874663
331,Mahibadhoo,3.7833,72.9667,27.32,79,63,5.74,MV,1662874664
332,Pacific Grove,36.6177,-121.9166,22.12,80,0,2.57,US,1662874665
333,Bathsheba,13.2167,-59.5167,28.34,83,40,4.63,BB,1662874665
334,Moose Factory,51.2585,-80.6094,14.0,94,100,3.09,CA,1662874666
335,Coffs Harbour,-30.3,153.1333,21.74,46,53,4.12,AU,1662874666
336,Berlevåg,70.8578,29.0864,7.0,87,100,3.6,NO,1662874667
337,Hersbruck,49.5125,11.4339,13.75,90,100,3.41,DE,1662874668
338,Sayyan,15.1718,44.3244,20.79,28,59,6.42,YE,1662874669
339,Trojes,41.756,19.962,19.27,69,71,1.63,AL,1662874669
340,Zelenoborskiy,66.845,32.3622,9.96,84,96,0.46,RU,1662874669
341,Katobu,-4.9408,122.5276,32.23,43,47,2.52,ID,1662874670
342,Beloha,-25.1667,45.05,25.53,41,0,1.92,MG,1662874670
343,Paamiut,61.994,-49.6678,6.22,86,100,6.55,GL,1662874671
344,Bengkulu,-3.8004,102.2655,28.26,69,94,2.99,ID,1662874671
345,Poum,-20.2333,164.0167,25.1,80,1,4.46,NC,1662874672
346,Voyvozh,62.892,54.9635,6.23,95,98,1.69,RU,1662874673
347,Mosquera,4.7059,-74.2302,11.05,76,40,2.57,CO,1662874673
348,Kota Belud,6.351,116.4305,28.38,81,99,2.28,MY,1662874673
349,Taldan,53.6667,124.8,13.12,54,99,0.37,RU,1662874674
350,Nālūt,30.3333,10.85,25.6,27,0,3.3,LY,1662874675
351,Thoen,17.6129,99.2161,25.12,96,100,0.07,TH,1662874676
352,Yangambi,0.8102,24.4336,22.05,95,48,0.45,CD,1662874677
353,Estrela,-28.0611,-50.9383,3.56,86,0,1.56,BR,1662874677
354,Linxia Chengguanzhen,35.6003,103.2064,23.33,32,16,1.28,CN,1662874677
355,Grand Gaube,-20.0064,57.6608,24.22,61,5,5.36,MU,1662874678
356,Gao,16.6362,1.637,28.79,55,76,3.95,ML,1662874679
357,Torit,4.4133,32.5678,24.03,79,93,0.82,SS,1662874679
358,Comalcalco,18.2667,-93.2167,25.68,88,99,0.65,MX,1662874680
